name,description,link,newprice,discount,oldprice,img,location,lat,long
"Buffet Ăn Vặt 50 Món Bắc – Trung – Nam Tặng Lẩu Nấm Tại Thị Buffet","Tha Hồ Khám Phá Các Món Ăn Đường Phố Đặc Sắc Với Buffet Ăn Vặt Hơn 50 Món Bắc – Trung – Nam Dành Cho 01 Người Tại Thị Buffet. Voucher 89,000 VNĐ, Còn 62,000 VNĐ, Giảm 30%. Chỉ Có Tại Hotdeal.vn!",https://www.hotdeal.vn/ho-chi-minh/an-uong/buffet-an-vat-50-mon-bac-trung-nam-tai-thi-buffet-233195.html,"62,000","-30%","89,000","https://images-hd.vinacdn.com/images/939/939004/500x500/233195-buffet-an-vat-50-mon-bac-trung-nam-tai-thi-buffet.jpg","13 Hoa Mai, P.2, Quận Phú Nhuận","10.7970017","106.68795879999993",
"Windsor Plaza Hotel 5* - International Buffet Tối Từ Thứ 2 Đến Thứ 6","Đổi Gió Và Thưởng Thức Trên 150 Món Ăn Đặc Sắc Trong Bữa Tiệc Buffet Tối Từ Thứ 2 Đến Thứ 6 Tại Windsor Plaza Hotel 5*. Voucher 645,000 VNĐ, Còn 483,000 VNĐ, Giảm 25%. Chỉ Có Tại Hotdeal.vn!",https://www.hotdeal.vn/ho-chi-minh/an-uong/windsor-plaza-hotel-5-international-buffet-toi-tu-thu-2-den-thu-6-231727.html,"483,000","-25%","645,000","https://images-hd.vinacdn.com/images/937/937119/500x500/231727-windsor-plaza-hotel-5-international-buffet-toi-tu-thu-2-den-thu-6.jpg","18 An Dương Vương, Q. 5","10.7596869","106.67966360000003",
"Hệ Thống Mr.Potato - Lựa Chọn Thả Ga Với 17 Loại Gia Vị Khoai Tây Thơm, Ngon, Giòn Tan ","Tha Hồ Chọn Khẩu Vị Khoai Yêu Thích Với Sốt Tự Chọn Cùng Các Món Gà Rán, Burger, Salad Và Nước Ngọt, Nước Ép Trái Cây…Độc Đáo, Hấp Dẫn Không Giới Hạn Tại Hệ Thống Mr.Totato. Voucher 39,000 VNĐ, Còn 25,000 VNĐ, Giảm 36%. Chỉ Có Tại Hotdeal.vn!",https://www.hotdeal.vn/ho-chi-minh/an-uong/tha-ho-chon-khau-vi-hoai-yeu-thich-khong-gioi-han-tai-he-thong-mr.-potato-226752.html,"25,000","-36%","39,000","https://images-hd.vinacdn.com/images/922/922481/500x500/226752-tha-ho-chon-khau-vi-hoai-yeu-thich-khong-gioi-han-tai-he-thong-mr.-potato.jpg","98-O Lê Lai, P. Bến Thành, Q1","10.7699854","106.69336520000002",
"Buffet Tối Hải Sản NH Dìn Ký - Từ Thứ 3 Đến CN","Đổi Vị Cuối Tuần Với Buffet Tối Hải Sản Gồm Hơn 60 Món Ăn Đặc Sắc Tại Nhà Hàng Hải Sản Dìn Ký. Voucher 270.000 VNĐ, Còn 189.000 VNĐ, Giảm 30%. Chỉ Có Tại Hotdeal.vn!",https://www.hotdeal.vn/ho-chi-minh/an-uong/buffet-toi-hai-san-din-ky-_-thu3-4-5-6-7-cn-235886.html,"189,000","-30%","270,000","https://images-hd.vinacdn.com/images/948/948308/500x500/235886-buffet-toi-hai-san-din-ky-_-thu3-4-5-6-7-cn.jpg","127 Hồng Hà, P.9, Q.Phú Nhuận","10.810386","106.67196899999999",
"Buffet Trưa Hơn 40 Món Tại 4GS Texas Restaurant","Hòa Mình Vào Thế Giới Ẩm Thực Đầy Màu Sắc Với Bữa Tiệc Buffet Trưa Hơn 40 Món Tại 4GS Texas Restaurant. Voucher 155,000 VNĐ, Còn 99,000 VNĐ, Giảm 36%. Chỉ Có Tại Hotdeal.vn!",https://www.hotdeal.vn/ho-chi-minh/an-uong/buffet-trua-hon-40-mon-tai-4gs-texas-230625.html,"99,000","-36%","155,000","https://images-hd.vinacdn.com/images/932/932367/500x500/230625-buffet-trua-hon-40-mon-tai-4gs-texas.jpg","110 Điện Biên Phủ, phường Đa Kao, quận 1","10.789811","106.696641",
"1 Trong 3 Combo Sushi Cho 1 Người - Giao Hàng Miễn Phí","Thưởng Thức Hương Vị Sushi Hấp Dẫn, Nhỏ Xinh, Đầy Màu Sắc Với 1 Trong 3 Combo Dành Cho 1 Người Tại Shinsen Sushi. Áp Dụng Mua Mang Về, Giao Hàng Tận Nơi. Voucher 55,000 VNĐ, Còn 30,000 VNĐ, Giảm 45%. Chỉ Có Tại Hotdeal.vn!",https://www.hotdeal.vn/ho-chi-minh/an-uong/01-trong-03-combo-sushi-danh-cho-1-nguoi-tai-shinsen-sushi-233003.html,"30,000","-45%","55,000","https://images-hd.vinacdn.com/images/938/938330/500x500/233003-01-trong-03-combo-sushi-danh-cho-1-nguoi-tai-shinsen-sushi.jpg","159 Cao Thắng, Q.10","10.7734667","106.67814440000006",
"Kem Khói Tuyệt Ngon Tại Kemistry","Thưởng Thức 1 Phần Kem Khói Gồm 2 Viên (Có 40 Mùi Lựa Chọn)  Ngon Mê Ly Tại Kem Khói Kemistry. Voucher 54,000 VNĐ, Còn 27,000 VNĐ, Giảm 50%. Chỉ Có Tại Hotdeal.vn!",https://www.hotdeal.vn/ho-chi-minh/an-uong/kem-khoi-tuyet-ngon-chao-don-mua-dong-tai-kemistry-221489.html,"27,000","-50%","54,000","https://images-hd.vinacdn.com/images/912/911802/500x500/221489-kem-khoi-tuyet-ngon-chao-don-mua-dong-tai-kemistry.jpg","147 Trần Hưng Đạo, P. Cầu Ông Lãnh, Quận 1, TP. HCM","10.766674","106.69455700000003",
"Buffet Tối Lẩu Nhật Hàn, Hải Sản & Bò Mỹ Nướng - Sukiya Kore Vincom Mega Mall","Thưởng Thức Ẩm Thực Nhật Hàn Với Tiệc Buffet Tối Lẩu Nhật Hàn, Hải Sản & Bò Mỹ Nướng Cao Cấp Sukiya Tại Vincom Mega Mall. Voucher 218,000 VNĐ, Còn 164,000 VNĐ, Giảm 25%. Chỉ Có Tại Hotdeal.vn!",https://www.hotdeal.vn/ho-chi-minh/an-uong/sukiya-vincom-mega-mall-buffet-toi-lau-nhat-han-hai-san-bo-my-nuong-cao-cap-224702.html,"164,000","-25%","218,000","https://images-hd.vinacdn.com/images/938/937681/500x500/224702-sukiya-vincom-mega-mall-buffet-toi-lau-nhat-han-hai-san-bo-my-nuong-cao-cap.jpg","Lầu 4, Trung Tâm Thương Mại Vincom Mega Mall, 159 Xa lộ Hà Nội, phường Thảo Điền, Q.2","10.80138066599277","106.73290133862304",
"Cafe Lâu Đài Đá Đẹp Nhất Sài Gòn, Set Cafe Hoàng Gia Bỉ Cho 4 Người","Cơ Hội Thưởng Thức Belgium Royal Coffee (Cà Phê Hoàng Gia Bỉ) – 1 Trong 10 Thức Uống Ngon Nhất Thế Giới Dành Cho 2- 4 Người Tại Stone Castle Café. Voucher 199,000 VNĐ, Còn 99,000 VNĐ, Giảm 50%. Chỉ Có Tại Hotdeal.vn!",https://www.hotdeal.vn/ho-chi-minh/an-uong/thu-mot-lan-lam-vua-voi-belgium-royal-coffee-danh-cho-2-4-nguoi-tai-stone-castle-cafe-219732.html,"99,000","-50%","199,000","https://images-hd.vinacdn.com/images/903/902692/500x500/219732-thu-mot-lan-lam-vua-voi-belgium-royal-coffee-danh-cho-2-4-nguoi-tai-stone-castle-cafe.jpg","110 Tô Hiệu, phường Hiệp Tân, quận Tân Phú","10.768513555379695","106.62709252929153",
"Tham Quan & Chụp Ảnh Tại Bảo Tàng Tranh 3D Artinus Duy  Nhất Tại Việt Nam","Cơ Hội Tham Quan & Chụp Ảnh Tại Bảo Tàng Tranh 3D Artinus – Lần Đầu Tiên Xuất Hiện Và Duy Nhất Tại Việt Nam. Voucher 180,000 VNĐ, Còn 129,000 VNĐ, Giảm 28%. Chỉ Có Tại Hotdeal.vn!",https://www.hotdeal.vn/ho-chi-minh/dao-tao-giai-tri/tranh-3d-237449.html,"129,000","-28%","180,000","https://images-hd.vinacdn.com/images/954/953550/500x500/237449-tranh-3d.jpg","02-04 Đường số 9, khu đô thị mới Him Lam, Phường Tân Hưng,Quận 7","10.742026004579543","106.69455159759218",
"Kimchi Kimchi – Món Hàn Ngon, Mới Lạ Và Đã Cơn Thèm ","Thưởng Thức Món Hàn Ngon Đúng Điệu Trong Không Gian Sang Trọng, Ấm Cúng Tại Nhà Hàng Kimchi Kimchi. Voucher 230.000 VNĐ, Còn 155.000 VNĐ, Giảm 33%. Chỉ Có Tại Hotdeal.vn!",https://www.hotdeal.vn/ho-chi-minh/an-uong/kimchi-kimchi-mon-han-ngon-moi-la-va-da-con-them-186538.html,"155,000","-33%","230,000","https://images-hd.vinacdn.com/images/812/811844/500x500/186538-kimchi-kimchi-mon-han-ngon-moi-la-va-da-con-them.jpg","112 Đinh Tiên Hoàng, P.Đa Kao, Q.1","10.7896589","106.69825319999995",
"Set 5 Món Hàn Quốc Giá Sốc Cho 2 Người - Mogu Mogu BBQ","Thưởng Thức 01 Trong 05 Set Ăn Hàn Quốc Hấp Dẫn Cho 02 Người Tại Mogu Mogu BBQ. Voucher 349,000 VNĐ, Còn 139,000 VNĐ, Giảm 60%. Chỉ Có Tại Hotdeal.vn!",https://www.hotdeal.vn/ho-chi-minh/an-uong/set-menu-04-mon-han-quoc-hap-dan-cho-02-nguoi-free-trang-mieng-tra-khan-lanh-mogu-mogu-bbq-226772.html,"139,000","-60%","349,000","https://images-hd.vinacdn.com/images/925/924611/500x500/226772-set-menu-04-mon-han-quoc-hap-dan-cho-02-nguoi-free-trang-mieng-tra-khan-lanh-mogu-mogu-bbq.jpg","280 Nguyễn Đình Chiểu, P6, Q3","10.7758","106.68727999999999",
"Set 12 Su Kem Singapore – Giao Hàng Miễn Phí","Thưởng Thức Lớp Vỏ Mềm Mại, Nhân Kem Ngọt Ngào, Tươi Mát Của Món Bánh Su Kem Đặc Sắc, Tại Cửa Hàng Bánh Su Kem Singapore. Voucher 100,000 VNĐ, Còn 59,000 VNĐ, Giảm 41%. Chỉ Có Tại Hotdeal.vn!",https://www.hotdeal.vn/ho-chi-minh/an-uong/set-12-banh-su-tai-banh-su-kem-singapore-giao-hang-mien-phi-236170.html,"59,000","-41%","100,000","https://images-hd.vinacdn.com/images/952/952144/500x500/236170-set-12-banh-su-tai-banh-su-kem-singapore-giao-hang-mien-phi.jpg","187 Xô Viết Nghệ Tĩnh, P.17, Bình Thạnh","10.79934","106.71095300000002",
"Buffet Trưa/ Tối 100 Món Nướng, Lẩu, Sashimi, Sushi Tại Sushi Dining AOI","Thay Đổi Khẩu Vị Với Bữa Tiệc Buffet Trưa/ Tối Hoành Tráng Gồm 100 Món Nướng, Lẩu, Sashimi, Sushi Nhật Bản Tại Sushi Dining AOI. Voucher 500,000 VNĐ, Còn 299,000 VNĐ, Giảm 40%. Chỉ Có Tại Hotdeal.vn!",https://www.hotdeal.vn/ho-chi-minh/an-uong/buffet-trua-toi-100-mon-nuong-lau-sashimi-sushi-tai-sushi-dining-aoi-232580.html,"299,000","-40%","500,000","https://images-hd.vinacdn.com/images/935/935294/500x500/232580-buffet-trua-toi-100-mon-nuong-lau-sashimi-sushi-tai-sushi-dining-aoi.jpg","53 - 55 Bà Huyện Thanh Quan, Phường 6, Quận 3","10.7763296","106.68858790000002",
"Trọn Gói Điều Trị Mụn, Thâm & Sáng Da Công Nghệ Cao, Đi Serum - Miễn Tip Tại Cà Chua Trắng Clinic","Da Đẹp Rạng Ngời, Không Tỳ Vết Với Gói Điều Trị Mụn, Trị Thâm + Sáng Da Bằng Công Nghệ Cao + Đi Meso Serum Tại Phòng Chăm Sóc Da Cà Chua Trắng. Voucher 1,200,000 VNĐ, Còn 99,000 VNĐ, Giảm 92%. Chỉ Có Tại Hotdeal.vn!",https://www.hotdeal.vn/ho-chi-minh/spa-lam-dep/dieu-tri-da-mun-tham-cao-cap-cong-nghe-sang-da-di-meso-serum-221306.html,"99,000","-92%","1,200,000","https://images-hd.vinacdn.com/images/910/909600/500x500/221306-dieu-tri-da-mun-tham-cao-cap-cong-nghe-sang-da-di-meso-serum.jpg","Số 27 Trần Thiện Chánh, P. 12, Q. 10,","10.7711641","106.67087879999997",
"Hệ Thống Siêu Thị Tóc Huy Nguyễn - Trọn Gói Uốn Duỗi Nhuộm + 03 Quà Tặng ","Làm Điệu Cho Mái Tóc Với Ưu Đãi “Mua 1 Được 4” Tại Hệ Thống Siêu Thị Tóc Huy Nguyễn, Bao Gồm: Uốn/Duỗi/Nhuộm + Cắt + Gội + Sấy – Cùng Nhiều Tặng Kèm Hấp Dẫn. Voucher 750,000 VNĐ, Còn 70,000 VNĐ, Giảm 91%. Chỉ Có Tại Hotdeal.vn!",https://www.hotdeal.vn/ho-chi-minh/spa-lam-dep/he-thong-sieu-thi-toc-huy-nguyen-tron-goi-uon-duoi-nhuom-03-qua-tang-222771.html,"70,000","-91%","750,000","https://images-hd.vinacdn.com/images/916/916210/500x500/222771-he-thong-sieu-thi-toc-huy-nguyen-tron-goi-uon-duoi-nhuom-03-qua-tang.jpg","Chi nhánh 1: Số 703 Xô Viết Nghệ Tĩnh, F. 26, Q. Bình Thạnh","10.8124618","106.71541930000001",
